Species	Phylum	Family	Genus	Species	Level Last	Isolation	Oxygen	Spore	Motile	Gram
Lachnospira multipara	Bacillota	Lachnospiraceae	Lachnospira	Lachnospira multipara	Primary degrader	Rumen	anaerobic	non-spore-forming	motile	Gram-positive
Lactobacillus composti	Bacillota	Lactobacillaceae	Agrilactobacillus	Agrilactobacillus composti	Lactic acid bacterium	Environment	facultatively anaerobic	-	non-motile	Gram-positive
Lactobacillus curieae	Bacillota	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus curieae	Lactic acid bacterium	Environment	facultatively anaerobic	non-spore-forming	non-motile	Gram-positive
Lactobacillus mellifer	Bacillota	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellifer	Lactic acid bacterium	Intestine	facultatively anaerobic	non-spore-forming	non-motile	Gram-positive
Lactobacillus rogosae	Bacillota	Lactobacillaceae	Lactobacillus	Lactobacillus rogosae	Lactic acid bacterium	Intestine	obligately anaerobic	non-spore-forming	motile	Gram-positive
Lactobacillus ruminis	Bacillota	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis	Lactic acid bacterium	Rumen	anaerobic	non-spore-forming	motile	Gram-positive
Lactobacillus senioris	Bacillota	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus senioris	Lactic acid bacterium	Intestine	facultatively anaerobic	spore-forming	non-motile	Gram-positive
Lactobacillus similis	Bacillota	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus similis	Lactic acid bacterium	Environment	anaerobic	non-spore-forming	non-motile	Gram-positive
Lawsonia intracellularis	Thermodesulfobacteriota	Desulfovibrionaceae	Lawsonia	Lawsonia intracellularis	Pathogen	Intestine		non-spore-forming	non-motile	Gram-negative
Macellibacteroides fermentans	Bacteroidota	Porphyromonadaceae	Macellibacteroides	Macellibacteroides fermentans	Secondary degrader	Environment	obligately anaerobic	non-spore-forming	non-motile	Gram-positive
Mariniphaga anaerophila	Bacteroidota	Prolixibacteraceae	Mariniphaga	Mariniphaga anaerophila	Secondary degrader	Environment	facultatively aerobic	non-spore-forming	non-motile	Gram-negative
Marvinbryantia formatexigens	Bacillota	Lachnospiraceae	Marvinbryantia	Marvinbryantia formatexigens	Primary degrader	Intestine	strictly anaerobic		non-motile	Gram-positive
Mechercharimyces asporophorigenens	Bacillota	Thermoactinomycetaceae	Mechercharimyces	Mechercharimyces asporophorigenens	Asaccharolytic bacterium	Environment	aerobic	spore-forming		Gram-positive
Mechercharimyces mesophilus	Bacillota	Thermoactinomycetaceae	Mechercharimyces	Mechercharimyces mesophilus	Asaccharolytic bacterium	Environment	aerobic	spore-forming		Gram-positive
Methanobrevibacter boviskoreani	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter boviskoreani	Methanogen	Rumen	strictly anaerobic	-	non-motile	Gram-positive
Methanobrevibacter gottschalkii	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter gottschalkii	Methanogen	Intestine	strictly anaerobic	-	-	Gram-positive
Methanobrevibacter millerae	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter millerae	Methanogen	Rumen	-	-	non-motile	Gram-positive
Methanobrevibacter smithii	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	Methanogen	Intestine	anaerobic	-	non-motile	Gram-positive
Methanobrevibacter thaueri	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter thaueri	Methanogen	Intestine	strictly anaerobic	-	-	Gram-positive
Methanobrevibacter woesei	Euryarchaeota	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter woesei	Methanogen	Intestine	strictly anaerobic	-	-	Gram-positive
Natranaerovirga pectinivora	Bacillota	Unclassified	Natranaerovirga	Natranaerovirga pectinivora	Primary degrader	Environment	strictly anaerobic	spore-forming	non-motile	Gram-positive
Noviherbaspirillum aurantiacum	Pseudomonadota	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum aurantiacum	Secondary degrader	Environment	aerobic	non-spore-forming	motile	Gram-negative
Noviherbaspirillum canariense	Pseudomonadota	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum canariense	Asaccharolytic bacterium	Environment	aerobic	non-spore-forming	motile	Gram-negative
Odoribacter laneus	Bacteroidota	Odoribacteraceae	Odoribacter	Odoribacter laneus	Asaccharolytic bacterium	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Odoribacter splanchnicus	Bacteroidota	Odoribacteraceae	Odoribacter	Odoribacter splanchnicus	Butyrate producers	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Olivibacter sitiensis	Bacteroidota	Sphingobacteriaceae	Olivibacter	Olivibacter sitiensis	Secondary degrader	Environment		non-spore-forming	non-motile	Gram-negative
Olsenella profusa	Actinomycetota	Atopobiaceae	Olsenella	Olsenella profusa	Lactic acid bacterium	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-positive
Olsenella scatoligenes	Actinomycetota	Atopobiaceae	Tractidigestivibacter	Tractidigestivibacter scatoligenes	Lactic acid bacterium	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-positive
Olsenella uli	Actinomycetota	Atopobiaceae	Olsenella	Olsenella uli	Lactic acid bacterium	Oral	strictly anaerobic		non-motile	Gram-positive
Olsenella umbonata	Actinomycetota	Atopobiaceae	Parafannyhessea	Parafannyhessea umbonata	Mucin degrader	Rumen	anaerobic	non-spore-forming	non-motile	Gram-positive
Paenibacillus turicensis	Bacillota	Paenibacillaceae	Paenibacillus	Paenibacillus turicensis	Pathogen	Clinical	facultatively anaerobic	spore-forming	motile	Gram-positive
Papillibacter cinnamivorans	Bacillota	Oscillospiraceae	Papillibacter	Papillibacter cinnamivorans	Asaccharolytic bacterium	Environment	strictly anaerobic	non-spore-forming	non-motile	Gram-positive
Parabacteroides faecis	Bacteroidota	Tannerellaceae	Parabacteroides	Parabacteroides faecis	Secondary degrader	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Parabacteroides goldsteinii	Bacteroidota	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	Secondary degrader	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Parabacteroides gordonii	Bacteroidota	Tannerellaceae	Parabacteroides	Parabacteroides gordonii	Pathogen	Clinical	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Paraglaciecola psychrophila	Pseudomonadota	Alteromonadaceae	Paraglaciecola	Paraglaciecola psychrophila	Secondary degrader	Environment	anaerobic	-	motile	Gram-negative
Pedobacter terricola	Bacteroidota	Sphingobacteriaceae	Pedobacter	Pedobacter terricola	Secondary degrader	Environment		non-spore-forming	non-motile	Gram-negative
Phascolarctobacterium succinatutens	Bacillota	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens	Asaccharolytic bacterium	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Porphyromonas asaccharolytica	Bacteroidota	Porphyromonadaceae	Porphyromonas	Porphyromonas asaccharolytica	Asaccharolytic bacterium	Clinical	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella copri	Bacteroidota	Prevotellaceae	Segatella	Segatella copri	Primary degrader	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella denticola	Bacteroidota	Prevotellaceae	Prevotella	Prevotella denticola	Secondary degrader	Oral	anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella falsenii	Bacteroidota	Prevotellaceae	Prevotella	Prevotella falsenii	Secondary degrader	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella intermedia	Bacteroidota	Prevotellaceae	Prevotella	Prevotella intermedia	Proteolytic bacterium	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella jejuni	Bacteroidota	Prevotellaceae	Prevotella	Prevotella jejuni	Secondary degrader	Clinical	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella melaninogenica	Bacteroidota	Prevotellaceae	Prevotella	Prevotella melaninogenica	Proteolytic bacterium	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella micans	Bacteroidota	Prevotellaceae	Prevotella	Prevotella micans	Secondary degrader	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Prevotella multisaccharivorax	Bacteroidota	Prevotellaceae	Hallella	Hallella multisaccharivorax	Secondary degrader	Oral	obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Proteinivorax tanatarense	Bacillota	Proteinivoraceae	Proteinivorax	Proteinivorax tanatarense	Proteolytic bacterium	Environment	anaerobic	spore-forming	non-motile	Gram-positive
Pseudoclavibacter caeni	Actinomycetota	Microbacteriaceae	Pseudoclavibacter	Pseudoclavibacter caeni	Secondary degrader	Environment	strictly aerobic	non-spore-forming	non-motile	Gram-positive
Pseudoclavibacter soli	Actinomycetota	Microbacteriaceae	Pseudoclavibacter	Pseudoclavibacter soli	Asaccharolytic bacterium	Environment	aerobic		non-motile	Gram-positive
Pseudoduganella violaceinigra	Pseudomonadota	Oxalobacteraceae	Pseudoduganella	Pseudoduganella violaceinigra	Secondary degrader	Environment	obligate aerobic 	non-spore-forming	motile	Gram-negative
Pseudoflavonifractor capillosus	Bacillota	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus	Secondary degrader	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Roseburia faecis	Bacillota	Lachnospiraceae	Roseburia	Roseburia faecis	Butyrate producers	Intestine	strictly anaerobic		motile	Gram-variable
Ruminococcus obeum	Bacillota	Lachnospiraceae	Blautia	Blautia obeum	Secondary degrader	Intestine	anaerobic	non-spore-forming	non-motile	Gram-positive
Ruminococcus torques	Bacillota	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] torques	Mucin degrader	Intestine	Obligately anaerobic		non-motile	Gram-positive
Rummeliibacillus suwonensis	Bacillota	Planococcaceae	Rummeliibacillus	Rummeliibacillus suwonensis	Asaccharolytic bacterium	Environment	facultatively aerobic	spore-forming	non-motile	Gram-positive
Saccharofermentans acetigenes	Bacillota	Oscillospiraceae	Saccharofermentans	Saccharofermentans acetigenes	Acetogen	Environment	anaerobic	spore-forming	non-motile	Gram-positive
Salegentibacter chungangensis	Bacteroidota	Flavobacteriaceae	Salegentibacter	Salegentibacter chungangensis	Asaccharolytic bacterium	Environment	obligate aerobic 	non-spore-forming	non-motile	Gram-negative
Senegalimassilia anaerobia	Actinomycetota	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia	Asaccharolytic bacterium	Intestine	Strictly anaerobic	non-spore-forming	motile	Gram-positive
Slackia equolifaciens	Actinomycetota	Eggerthellaceae	Slackia	Slackia equolifaciens	Equol-producing bacterium	Intestine	anaerobic	non-spore-forming	non-motile	Gram-positive
Slackia faecicanis	Actinomycetota	Eggerthellaceae	Slackia	Slackia faecicanis	Asaccharolytic bacterium	Intestine	strictly anaerobic	non-spore-forming		Gram-positive
Slackia heliotrinireducens	Actinomycetota	Eggerthellaceae	Slackia	Slackia heliotrinireducens	Asaccharolytic bacterium	Rumen	Obligately anaerobic	non-spore-forming	non-motile	Gram-negative
Slackia isoflavoniconvertens	Actinomycetota	Eggerthellaceae	Slackia	Slackia isoflavoniconvertens	Equol-producing bacterium	Intestine	strictly anaerobic	non-spore-forming	-	Gram-positive
Slackia piriformis 	Actinomycetota	Eggerthellaceae	Slackia	Slackia piriformis 	Asaccharolytic bacterium	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-positive
Syntrophococcus sucromutans	Bacillota	Lachnospiraceae	Syntrophococcus	Syntrophococcus sucromutans	Acetogen	Rumen	Strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Thermoanaerobacterium aciditolerans	Bacillota	Thermoanaerobacteraceae	Thermoanaerobacterium	Thermoanaerobacterium aciditolerans	Primary degrader	Environment	obligately anaerobic	spore-forming	motile	Gram-positive
Thermoanaerobacterium aotearoense	Bacillota	Thermoanaerobacteraceae	Thermoanaerobacterium	Thermoanaerobacterium aotearoense	Primary degrader	Environment	anaerobic	spore-forming	motile	Gram-negative
Thermoanaerobacterium saccharolyticum	Bacillota	Thermoanaerobacteraceae	Thermoanaerobacterium	Thermoanaerobacterium saccharolyticum	Primary degrader	Environment	anaerobic	non-spore-forming	motile	Gram-negative
Thiomicrospira pelophila	Pseudomonadota	Piscirickettsiaceae	Thiomicrospira	Thiomicrospira pelophila	Sulfur-oxidizing bacteria	Environment	aerobic	non-spore-forming	motile	Gram-negative
Thiomicrospira thyasirae	Pseudomonadota	Piscirickettsiaceae	Thiomicrospira	Thiomicrospira thyasirae	Sulfur-oxidizing bacteria	Other Site				
Vallitalea pronyensis	Bacillota	Vallitaleaceae	Vallitalea	Vallitalea pronyensis	Secondary degrader	Environment	anaerobic	spore-forming	motile	Gram-positive
Actinomyces odontolyticus	Actinomycetota	Actinomycetaceae	Schaalia	Schaalia odontolytica	Pathogen	Oral	anaerobic	non-spore-forming	non-motile	Gram-positive
Bacteroides faecis	Bacteroidota	Bacteroidaceae	Bacteroides	Bacteroides faecis	Secondary degrader	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Bacteroides thetaiotaomicron	Bacteroidota	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	Primary degrader	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Bacteroides xylanisolvens	Bacteroidota	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	Primary degrader	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Clostridium symbiosum	Bacillota	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum	Pathogen	Clinical	anaerobic	spore-forming	motile	Gram-negative
Fusobacterium canifelinum	Fusobacteriota	Fusobacteriaceae	Fusobacterium	Fusobacterium canifelinum	Fusobacterium	Clinical	anaerobic	non-spore-forming	non-motile	Gram-negative
Fusobacterium necrogenes	Fusobacteriota	Fusobacteriaceae	Fusobacterium	Fusobacterium necrogenes	Fusobacterium	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Fusobacterium nucleatum subsp. nucleatum	Fusobacteriota	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium	Oral	anaerobic	non-spore-forming	non-motile	Gram-negative
Parvimonas micra	Bacillota	Peptoniphilaceae	Parvimonas	Parvimonas micra	Pathogen	Clinical	anaerobic	non-spore-forming	non-motile	Gram-positive
Plesiomonas shigelloides	Pseudomonadota	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides	Pathogen	Intestine	facultatively anaerobic	non-spore-forming	motile	Gram-negative
Roseburia intestinalis	Bacillota	Lachnospiraceae	Roseburia	Roseburia intestinalis	Butyrate producers	Intestine	anaerobic	-	motile	Gram-positive
Ruminococcus champanellensis	Bacillota	Oscillospiraceae	Ruminococcus	Ruminococcus champanellensis	Primary degrader	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-positive
Slackia piriformis	Actinomycetota	Eggerthellaceae	Slackia	Slackia piriformis	Asaccharolytic bacterium	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-positive
