K00001	E1.1.1.1	alcohol dehydrogenase
K02926	RP-L4	large subunit ribosomal protein L4
K02927	RP-L40e	ubiquitin-large subunit ribosomal protein L40e
K02929	RP-L44e	large subunit ribosomal protein L44e
K02930	RP-L4e	large subunit ribosomal protein L4e
K02931	RP-L5	large subunit ribosomal protein L5
K02933	RP-L6	large subunit ribosomal protein L6
K02935	RP-L7	large subunit ribosomal protein L7/L12
K02936	RP-L7Ae	large subunit ribosomal protein L7Ae
K02939	RP-L9	large subunit ribosomal protein L9
K02944	RP-LX	large subunit ribosomal protein LX
K02945	RP-S1	small subunit ribosomal protein S1
K02946	RP-S10	small subunit ribosomal protein S10
K02948	RP-S11	small subunit ribosomal protein S11
K02950	RP-S12	small subunit ribosomal protein S12
K02952	RP-S13	small subunit ribosomal protein S13
K02954	RP-S14	small subunit ribosomal protein S14
K02956	RP-S15	small subunit ribosomal protein S15
K02959	RP-S16	small subunit ribosomal protein S16
K02961	RP-S17	small subunit ribosomal protein S17
K02962	RP-S17e	small subunit ribosomal protein S17e
K02963	RP-S18	small subunit ribosomal protein S18
K02965	RP-S19	small subunit ribosomal protein S19
K02966	RP-S19e	small subunit ribosomal protein S19e
K02967	RP-S2	small subunit ribosomal protein S2
K02968	RP-S20	small subunit ribosomal protein S20
K02970	RP-S21	small subunit ribosomal protein S21
K02972	sra	stationary-phase-induced ribosome-associated protein
K02974	RP-S24e	small subunit ribosomal protein S24e
K02977	RP-S27Ae	ubiquitin-small subunit ribosomal protein S27Ae
K02978	RP-S27e	small subunit ribosomal protein S27e
K02979	RP-S28e	small subunit ribosomal protein S28e
K02982	RP-S3	small subunit ribosomal protein S3
K02984	RP-S3Ae	small subunit ribosomal protein S3Ae
K02986	RP-S4	small subunit ribosomal protein S4
K02987	RP-S4e	small subunit ribosomal protein S4e
K02988	RP-S5	small subunit ribosomal protein S5
K02990	RP-S6	small subunit ribosomal protein S6
K02991	RP-S6e	small subunit ribosomal protein S6e
K02992	RP-S7	small subunit ribosomal protein S7
K02994	RP-S8	small subunit ribosomal protein S8
K02995	RP-S8e	small subunit ribosomal protein S8e
K02996	RP-S9	small subunit ribosomal protein S9
K03006	RPB1	DNA-directed RNA polymerase II subunit RPB1
K03040	rpoA	DNA-directed RNA polymerase subunit alpha
K03041	rpoA1	DNA-directed RNA polymerase subunit A'
K03042	rpoA2	DNA-directed RNA polymerase subunit A"
K03043	rpoB	DNA-directed RNA polymerase subunit beta
K03044	rpoB1	DNA-directed RNA polymerase subunit B'
K03045	rpoB2	DNA-directed RNA polymerase subunit B"
K03046	rpoC	DNA-directed RNA polymerase subunit beta'
K03047	rpoD	DNA-directed RNA polymerase subunit D
K03048	rpoE	DNA-directed RNA polymerase subunit delta
K03049	rpoE1	DNA-directed RNA polymerase subunit E'
K03050	rpoE2	DNA-directed RNA polymerase subunit E"
K03051	rpoF	DNA-directed RNA polymerase subunit F
K03053	rpoH	DNA-directed RNA polymerase subunit H
K03055	rpoK	DNA-directed RNA polymerase subunit K
K03056	rpoL	DNA-directed RNA polymerase subunit L
K03057	tfs	transcription factor S
K03058	rpoN	DNA-directed RNA polymerase subunit N
K03060	rpoZ	DNA-directed RNA polymerase subunit omega
K03070	secA	preprotein translocase subunit SecA
K03071	secB	preprotein translocase subunit SecB
K03072	secD	preprotein translocase subunit SecD
K03073	secE	preprotein translocase subunit SecE
K03074	secF	preprotein translocase subunit SecF
K03075	secG	preprotein translocase subunit SecG
K03076	secY	preprotein translocase subunit SecY
K03077	araD	L-ribulose-5-phosphate 4-epimerase
K03078	ulaD	3-dehydro-L-gulonate-6-phosphate decarboxylase
K03079	ulaE	L-ribulose-5-phosphate 3-epimerase
K03086	rpoD	RNA polymerase primary sigma factor
K03087	rpoS	RNA polymerase nonessential primary-like sigma factor
K03088	rpoE	RNA polymerase sigma-70 factor, ECF subfamily
K03089	rpoH	RNA polymerase sigma-32 factor
K03090	sigB	RNA polymerase sigma-B factor
K03091	sigH	RNA polymerase sporulation-specific sigma factor
K03092	rpoN	RNA polymerase sigma-54 factor
K03093	sigI	RNA polymerase sigma factor
K03095	sprL	SprT-like protein
K03098	APOD	apolipoprotein D and lipocalin family protein
K03100	lepB	signal peptidase I
K03101	lspA	signal peptidase II
K03105	SRP19	signal recognition particle subunit SRP19
K03106	SRP54	signal recognition particle subunit SRP54
K03110	ftsY	fused signal recognition particle receptor
K03111	ssb	single-strand DNA-binding protein
K03112	damX	DamX protein
K03113	EIF1, SUI1	translation initiation factor 1
K03116	tatA	sec-independent protein translocase protein TatA
K03117	tatB	sec-independent protein translocase protein TatB
K03118	tatC	sec-independent protein translocase protein TatC
K03119	tauD	taurine dioxygenase
K03120	TBP	transcription initiation factor TFIID TATA-box-binding protein
K03124	TFIIB	transcription initiation factor TFIIB
K03136	TFIIE1	transcription initiation factor TFIIE subunit alpha
K03146	THI4	cysteine-dependent adenosine diphosphate thiazole synthase
K03147	thiC	phosphomethylpyrimidine synthase
K03148	thiF	sulfur carrier protein ThiS adenylyltransferase
K03149	thiG	thiazole synthase
K03150	thiH	2-iminoacetate synthase
K03151	thiI	tRNA uracil 4-sulfurtransferase
K03152	thiJ	protein deglycase
K03153	thiO	glycine oxidase
K03154	thiS	sulfur carrier protein
K03166	top6A	DNA topoisomerase VI subunit A
K03167	top6B	DNA topoisomerase VI subunit B
K03168	topA	DNA topoisomerase I
K03169	topB	DNA topoisomerase III
K03177	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase
K03179	ubiA	4-hydroxybenzoate polyprenyltransferase
K03181	ubiC	chorismate lyase
K03182	ubiD	4-hydroxy-3-polyprenylbenzoate decarboxylase
K03183	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
K03184	ubiF	3-demethoxyubiquinol 3-hydroxylase
K03185	ubiH	2-octaprenyl-6-methoxyphenol hydroxylase
K03186	ubiX	flavin prenyltransferase
K03187	ureE	urease accessory protein
K03188	ureF	urease accessory protein
K03189	ureG	urease accessory protein
K03190	ureD, ureH	urease accessory protein
K03191	ureI	acid-activated urea channel
K03192	ureJ	urease accessory protein
K03194	virB1	type IV secretion system protein VirB1
K03195	virB10	type IV secretion system protein VirB10
K03196	virB11	type IV secretion system protein VirB11
K03197	virB2	type IV secretion system protein VirB2
K03198	virB3	type IV secretion system protein VirB3
K03199	virB4	type IV secretion system protein VirB4
K03200	virB5	type IV secretion system protein VirB5
K03201	virB6	type IV secretion system protein VirB6
K03202	virB7	type IV secretion system protein VirB7
K03203	virB8	type IV secretion system protein VirB8
K03204	virB9	type IV secretion system protein VirB9
K03205	virD4	type IV secretion system protein VirD4
K03206	azr	azobenzene reductase
K03207	gmm, nudD, wcaH	GDP-mannose mannosyl hydrolase
K03208	wcaI	putative colanic acid biosynthesis glycosyltransferase WcaI
K03210	yajC	preprotein translocase subunit YajC
K03212	rumB	23S rRNA (uracil747-C5)-methyltransferase
K03214	yfiF, trmG	RNA methyltransferase, TrmH family
K03215	rumA	23S rRNA (uracil1939-C5)-methyltransferase
K03216	trmL, cspR	tRNA (cytidine/uridine-2'-O-)-methyltransferase
K03217	yidC	YidC/Oxa1 family membrane protein insertase
K03218	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase
K03219	yscC	type III secretion protein C
K03220	yscD, sctD, ssaD	type III secretion protein D
K03221	yscF	type III secretion protein F
K03222	yscJ	type III secretion protein J
K03223	yscL	type III secretion protein L
K03224	yscN	ATP synthase in type III secretion protein N
K03225	yscQ	type III secretion protein Q
K03226	yscR	type III secretion protein R
K03227	yscS	type III secretion protein S
K03228	yscT	type III secretion protein T
K03229	yscU	type III secretion protein U
K03230	yscV	type III secretion protein V
K03231	EEF1A	elongation factor 1-alpha
K03232	EEF1B	elongation factor 1-beta
K03234	EEF2	elongation factor 2
K03236	EIF1A	translation initiation factor 1A
K03237	EIF2S1	translation initiation factor 2 subunit 1
K03238	EIF2S2	translation initiation factor 2 subunit 2
K03242	EIF2S3	translation initiation factor 2 subunit 3
K03243	EIF5B	translation initiation factor 5B
K03263	EIF5A	translation initiation factor 5A
K03264	EIF6	translation initiation factor 6
K03265	ETF1	peptide chain release factor subunit 1
K03269	lpxH	UDP-2,3-diacylglucosamine hydrolase
K03270	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)
K03271	gmhA	D-sedoheptulose 7-phosphate isomerase
K03272	gmhC	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase
K03273	gmhB	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase
K03274	gmhD	ADP-L-glycero-D-manno-heptose 6-epimerase
K03275	waaO	UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase
K03276	waaR	UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase
K03277	waaU	heptosyltransferase IV
K03278	waaI	UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase
K03279	waaJ	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase
K03280	waaK	UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase
K03281	TC.CIC	chloride channel protein, CIC family
K03282	mscL	large conductance mechanosensitive channel
K03284	corA	magnesium transporter
K03286	TC.OOP	OmpA-OmpF porin, OOP family
K03287	TC.OMF	outer membrane factor, OMF family
K03288	citA, tcuC	MFS transporter, MHS family, citrate/tricarballylate:H+ symporter
K03289	nupG	MFS transporter, NHS family, nucleoside permease
K03290	nanT	MFS transporter, SHS family, sialic acid transporter
K03291	MFS.SET	MFS transporter, SET family, sugar efflux transporter
K03292	TC.GPH	glycoside/pentoside/hexuronide:cation symporter, GPH family
K03293	TC.AAT	amino acid transporter, AAT family
K03294	TC.APA	basic amino acid/polyamine antiporter, APA family
K03296	TC.HAE1	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
K03297	emrE, qac, mmr, smr	small multidrug resistance pump
K03298	TC.DME	drug/metabolite transporter, DME family
K03299	TC.GNTP	gluconate:H+ symporter, GntP family
K03300	TC.CITMHS	citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
K03301	TC.AAA	ATP:ADP antiporter, AAA family
K03303	lctP	lactate permease
K03304	tehA	tellurite resistance protein
K03305	TC.POT	proton-dependent oligopeptide transporter, POT family
K03306	TC.PIT	inorganic phosphate transporter, PiT family
K03307	TC.SSS	solute:Na+ symporter, SSS family
K03308	TC.NSS	neurotransmitter:Na+ symporter, NSS family
K03309	TC.DAACS	dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family
K03310	TC.AGCS	alanine or glycine:cation symporter, AGCS family
K03311	TC.LIVCS	branched-chain amino acid:cation transporter, LIVCS family
K03312	gltS	glutamate:Na+ symporter, ESS family
K03313	nhaA	Na+:H+ antiporter, NhaA family
K03314	nhaB	Na+:H+ antiporter, NhaB family
K03315	nhaC	Na+:H+ antiporter, NhaC family
K03316	TC.CPA1	monovalent cation:H+ antiporter, CPA1 family
K03317	TC.CNT	concentrative nucleoside transporter, CNT family
K03318	tutB	tyrosine permease
K03319	TC.DASS	divalent anion:Na+ symporter, DASS family
K03320	amt, AMT, MEP	ammonium transporter, Amt family
K03321	TC.SULP	sulfate permease, SulP family
K03322	mntH	manganese transport protein
K03324	yjbB	phosphate:Na+ symporter
K03325	ACR3, arsB	arsenite transporter
K03326	TC.DCUC, dcuC, dcuD	C4-dicarboxylate transporter, DcuC family
K03327	TC.MATE, SLC47A, norM, mdtK, dinF	multidrug resistance protein, MATE family
K03328	TC.PST	polysaccharide transporter, PST family
K03329	yahN	amino acid exporter
K03330	gatE	glutamyl-tRNA(Gln) amidotransferase subunit E
K03332	fruA	fructan beta-fructosidase
K03333	choD	cholesterol oxidase
K03335	iolE	inosose dehydratase
K03336	iolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
K03337	iolB	5-deoxy-glucuronate isomerase
K03338	iolC	5-dehydro-2-deoxygluconokinase
K03339	iolJ	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase
K03340	dapdh	diaminopimelate dehydrogenase
K03341	SEPSECS	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
K03342	pabBC	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase
K03343	puo	putrescine oxidase
K03346	dnaB	replication initiation and membrane attachment protein
K03366	butA	meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase
K03367	dltA	D-alanine--poly(phosphoribitol) ligase subunit 1
K03379	chnB	cyclohexanone monooxygenase
K03380	E1.14.13.7	phenol 2-monooxygenase (NADPH)
K03381	catA	catechol 1,2-dioxygenase
K03382	atzB	hydroxydechloroatrazine ethylaminohydrolase
K03383	atzD	cyanuric acid amidohydrolase
K03385	nrfA	nitrite reductase (cytochrome c-552)
K03386	PRDX2_4	peroxiredoxin 2/4
K03387	ahpF	NADH-dependent peroxiredoxin subunit F
K03388	hdrA2	heterodisulfide reductase subunit A2
K03389	hdrB2	heterodisulfide reductase subunit B2
K03390	hdrC2	heterodisulfide reductase subunit C2
K03392	ACMSD	aminocarboxymuconate-semialdehyde decarboxylase
K03394	cobI-cbiL	precorrin-2/cobalt-factor-2 C20-methyltransferase
K03395	aac3-I	aminoglycoside 3-N-acetyltransferase I
K03396	gfa	S-(hydroxymethyl)glutathione synthase
K03399	cbiE	cobalt-precorrin-7 (C5)-methyltransferase
K03402	argR, ahrC	transcriptional regulator of arginine metabolism
K03403	chlH	magnesium chelatase subunit H
K03404	chlD	magnesium chelatase subunit D
K03405	chlI	magnesium chelatase subunit I
K03406	mcp	methyl-accepting chemotaxis protein
K03407	cheA	two-component system, chemotaxis family, sensor kinase CheA
K03408	cheW	purine-binding chemotaxis protein CheW
K03409	cheX	chemotaxis protein CheX
K03410	cheC	chemotaxis protein CheC
K03411	cheD	chemotaxis protein CheD
K03412	cheB	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase
K03413	cheY	two-component system, chemotaxis family, chemotaxis protein CheY
K03414	cheZ	chemotaxis protein CheZ
K03415	cheV	two-component system, chemotaxis family, chemotaxis protein CheV
K03416	E2.1.3.1-5S	methylmalonyl-CoA carboxyltransferase 5S subunit
K03417	prpB	methylisocitrate lyase
K03420	psmR	proteasome regulatory subunit
K03421	mcrC	methyl-coenzyme M reductase subunit C
K03422	mcrD	methyl-coenzyme M reductase subunit D
K03424	tatD	TatD DNase family protein
K03425	tatE	sec-independent protein translocase protein TatE
K03426	E3.6.1.22	NAD+ diphosphatase
K03427	hsdM	type I restriction enzyme M protein
K03429	ugtP	processive 1,2-diacylglycerol beta-glucosyltransferase
K03430	phnW	2-aminoethylphosphonate-pyruvate transaminase
K03431	glmM	phosphoglucosamine mutase
K03432	psmA	proteasome alpha subunit
K03433	psmB	proteasome beta subunit
K03435	fruR1, fruR	LacI family transcriptional regulator, fructose operon transcriptional repressor
K03436	fruR2, fruR	DeoR family transcriptional regulator, fructose operon transcriptional repressor
K03437	spoU	RNA methyltransferase, TrmH family
K03438	mraW, rsmH	16S rRNA (cytosine1402-N4)-methyltransferase
K03439	trmB, METTL1, TRM8	tRNA (guanine-N7-)-methyltransferase
K03442	mscS	small conductance mechanosensitive channel
K03444	ERD6, ESL1	MFS transporter, SP family, ERD6-like sugar transporter
K03445	nepI	MFS transporter, DHA1 family, purine ribonucleoside efflux pump
K03446	emrB	MFS transporter, DHA2 family, multidrug resistance protein
K03449	MFS.CP	MFS transporter, CP family, cyanate transporter
K03451	TC.BCT	betaine/carnitine transporter, BCCT family
K03453	TC.BASS	bile acid:Na+ symporter, BASS family
K03455	TC.KEF	monovalent cation:H+ antiporter-2, CPA2 family
K03457	TC.NCS1	nucleobase:cation symporter-1, NCS1 family
K03458	TC.NCS2	nucleobase:cation symporter-2, NCS2 family
K03459	focB	formate transporter
K03462	NAMPT	nicotinamide phosphoribosyltransferase
K03464	catC	muconolactone D-isomerase
K03465	thyX	thymidylate synthase (FAD)
K03466	ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
K03468	aaeB	p-hydroxybenzoic acid efflux pump subunit AaeB
K03469	rnhA	ribonuclease HI
K03470	rnhB	ribonuclease HII
K03471	rnhC	ribonuclease HIII
K03472	epd	D-erythrose 4-phosphate dehydrogenase
K03473	pdxB	erythronate-4-phosphate dehydrogenase
K03474	pdxJ	pyridoxine 5-phosphate synthase
K03475	ulaA	ascorbate PTS system EIIC component
K03476	ulaG	L-ascorbate 6-phosphate lactonase
K03477	ulaR	DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
K03478	chbG	chitin disaccharide deacetylase
K03480	glcT	transcriptional antiterminator
K03481	glvR	RpiR family transcriptional regulator, glv operon transcriptional regulator
K03482	yidP	GntR family transcriptional regulator, glv operon transcriptional regulator
K03483	mtlR	mannitol operon transcriptional activator
K03484	scrR	LacI family transcriptional regulator, sucrose operon repressor
K03485	treR	LacI family transcriptional regulator, trehalose operon repressor
K03486	treR2, treR	GntR family transcriptional regulator, trehalose operon transcriptional repressor
K03487	ascG	LacI family transcriptional regulator, asc operon repressor
K03488	licT, bglG	beta-glucoside operon transcriptional antiterminator
K03489	yydK	GntR family transcriptional regulator, transcriptional regulator of bglA
K03490	chbR, celD	AraC family transcriptional regulator, dual regulator of chb operon
K03491	licR	probable licABCH operon transcriptional regulator
K03492	gmuR	GntR family transcriptional regulator, regulator of glucomannan utilization
K03493	bglG1	transcriptional antiterminator
K03495	gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K03496	parA, soj	chromosome partitioning protein
K03497	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein
K03498	trkH, trkG, ktrB, ktrD	trk/ktr system potassium uptake protein
K03499	trkA, ktrA, ktrC	trk/ktr system potassium uptake protein
K03500	rsmB, sun	16S rRNA (cytosine967-C5)-methyltransferase
K03501	gidB, rsmG	16S rRNA (guanine527-N7)-methyltransferase
K03502	umuC	DNA polymerase V
K03503	umuD	DNA polymerase V
K03516	flhE	flagellar protein FlhE
K03517	nadA	quinolinate synthase
K03518	coxS	aerobic carbon-monoxide dehydrogenase small subunit
K03519	coxM, cutM	aerobic carbon-monoxide dehydrogenase medium subunit
K03520	coxL, cutL	aerobic carbon-monoxide dehydrogenase large subunit
K03521	fixA, etfB	electron transfer flavoprotein beta subunit
K03522	fixB, etfA	electron transfer flavoprotein alpha subunit
K03523	bioY	biotin transport system substrate-specific component
K03524	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase
K03525	coaX	type III pantothenate kinase
K03526	gcpE	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
K03527	ispH	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
K03528	zipA	cell division protein ZipA
K03529	smc	chromosome segregation protein
K03530	hupB	DNA-binding protein HU-beta
K03531	ftsZ	cell division protein FtsZ
K03532	torC	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC
K03533	torD	TorA specific chaperone
K03534	rhaM	L-rhamnose mutarotase
K03535	gudP	MFS transporter, ACS family, glucarate transporter
K03536	rnpA	ribonuclease P protein component
K03537	POP5	ribonuclease P/MRP protein subunit POP5
K03538	POP4	ribonuclease P protein subunit POP4
K03539	RPP1	ribonuclease P/MRP protein subunit RPP1
K03540	RPR2, RPP21	ribonuclease P protein subunit RPR2
K03543	emrA	membrane fusion protein, multidrug efflux system
K03544	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX
K03545	tig	trigger factor
K03546	sbcC, rad50	DNA repair protein SbcC/Rad50
K03547	sbcD, mre11	DNA repair protein SbcD/Mre11
K03548	perM	putative permease
K03549	kup	KUP system potassium uptake protein
K03550	ruvA	holliday junction DNA helicase RuvA
K03551	ruvB	holliday junction DNA helicase RuvB
K03552	hjr	holliday junction resolvase Hjr
K03553	recA	recombination protein RecA
K03554	rdgC	recombination associated protein RdgC
K03555	mutS	DNA mismatch repair protein MutS
K03556	malT	LuxR family transcriptional regulator, maltose regulon positive regulatory protein
K03557	fis	Fis family transcriptional regulator, factor for inversion stimulation protein
K03558	cvpA	membrane protein required for colicin V production
K03559	exbD	biopolymer transport protein ExbD
K03560	tolR	biopolymer transport protein TolR
K03561	exbB	biopolymer transport protein ExbB
K03562	tolQ	biopolymer transport protein TolQ
K03563	csrA	carbon storage regulator
K03564	BCP, PRXQ, DOT5	thioredoxin-dependent peroxiredoxin
K03565	recX	regulatory protein
K03566	gcvA	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
K03567	gcvR	glycine cleavage system transcriptional repressor
K03568	tldD	TldD protein
K03569	mreB	rod shape-determining protein MreB and related proteins
K03570	mreC	rod shape-determining protein MreC
K03571	mreD	rod shape-determining protein MreD
K03572	mutL	DNA mismatch repair protein MutL
K03573	mutH	DNA mismatch repair protein MutH
K03574	mutT, NUDT15, MTH2	8-oxo-dGTP diphosphatase
K03575	mutY	A/G-specific adenine glycosylase
K03576	metR	LysR family transcriptional regulator, regulator for metE and metH
K03577	acrR, smeT	TetR/AcrR family transcriptional regulator, acrAB operon repressor
K03578	hrpA	ATP-dependent helicase HrpA
K03579	hrpB	ATP-dependent helicase HrpB
K03580	hepA	ATP-dependent helicase HepA
K03581	recD	exodeoxyribonuclease V alpha subunit
K03582	recB	exodeoxyribonuclease V beta subunit
K03583	recC	exodeoxyribonuclease V gamma subunit
K03584	recO	DNA repair protein RecO (recombination protein O)
K03585	acrA	membrane fusion protein, multidrug efflux system
K03586	ftsL	cell division protein FtsL
K03587	ftsI	cell division protein FtsI (penicillin-binding protein 3)
K03588	ftsW	cell division protein FtsW
K03589	ftsQ	cell division protein FtsQ
K03590	ftsA	cell division protein FtsA
K03591	ftsN	cell division protein FtsN
K03592	pmbA	PmbA protein
K03593	mrp, NUBPL	ATP-binding protein involved in chromosome partitioning
K03594	bfr	bacterioferritin
K03595	era, ERAL1	GTPase
K03596	lepA	GTP-binding protein LepA
K03597	rseA	sigma-E factor negative regulatory protein RseA
K03598	rseB	sigma-E factor negative regulatory protein RseB
K03599	sspA, mglA	stringent starvation protein A
K03600	sspB	stringent starvation protein B
K03601	xseA	exodeoxyribonuclease VII large subunit
K03602	xseB	exodeoxyribonuclease VII small subunit
K03603	fadR	GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA
K03604	purR	LacI family transcriptional regulator, purine nucleotide synthesis repressor
K03605	hyaD, hybD	hydrogenase maturation protease
K03606	wcaJ	undecaprenyl-phosphate glucose phosphotransferase
K03607	proQ	ProP effector
K03608	minE	cell division topological specificity factor
K03609	minD	septum site-determining protein MinD
K03610	minC	septum site-determining protein MinC
K03611	dsbB	protein dithiol:quinone oxidoreductase
K03612	rnfG	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
K03613	rnfE	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
K03614	rnfD	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D
K03615	rnfC	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C
K03616	rnfB	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B
K03617	rnfA	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A
K03618	hyaF	hydrogenase-1 operon protein HyaF
K03619	hyaE	hydrogenase-1 operon protein HyaE
K03620	hyaC	Ni/Fe-hydrogenase 1 B-type cytochrome subunit
K03621	plsX	phosphate acyltransferase
K03622	ssh10b	archaea-specific DNA-binding protein
K03623	yhcO	ribonuclease inhibitor
K03624	greA	transcription elongation factor GreA
K03625	nusB	transcription antitermination protein NusB
K03626	EGD2	nascent polypeptide-associated complex subunit alpha
K03627	MBF1	putative transcription factor
K03628	rho	transcription termination factor Rho
K03629	recF	DNA replication and repair protein RecF
K03630	radC	DNA repair protein RadC
K03631	recN	DNA repair protein RecN (Recombination protein N)
K03632	mukB	chromosome partition protein MukB
K03633	mukF	chromosome partition protein MukF
K03634	lolA	outer membrane lipoprotein carrier protein
K03635	MOCS2B	molybdopterin synthase catalytic subunit
K03636	moaD	sulfur-carrier protein
K03637	moaC	cyclic pyranopterin monophosphate synthase
K03638	moaB	molybdopterin adenylyltransferase
K03639	moaA	GTP 3',8-cyclase
K03640	pal	peptidoglycan-associated lipoprotein
K03641	tolB	TolB protein
K03642	rlpA	rare lipoprotein A
K03643	lptE, rlpB	LPS-assembly lipoprotein
K03644	lipA	lipoyl synthase
K03645	seqA	negative modulator of initiation of replication
K03646	tolA	colicin import membrane protein
K03647	nrdI	protein involved in ribonucleotide reduction
K03648	UNG	uracil-DNA glycosylase
K03649	mug	double-stranded uracil-DNA glycosylase
K03650	mnmE, trmE, MSS1	tRNA modification GTPase
K03651	cpdA	3',5'-cyclic-AMP phosphodiesterase
K03652	MPG	DNA-3-methyladenine glycosylase
K03653	K03653	N-glycosylase/DNA lyase
K03654	recQ	ATP-dependent DNA helicase RecQ
K03655	recG	ATP-dependent DNA helicase RecG
K03656	rep	ATP-dependent DNA helicase Rep
K03657	uvrD	ATP-dependent DNA helicase UvrD/PcrA
K03658	helD	DNA helicase IV
K03660	OGG1	N-glycosylase/DNA lyase
K03664	smpB	SsrA-binding protein
K03665	hflX	GTPase
K03666	hfq	host factor-I protein
K03667	hslU	ATP-dependent HslUV protease ATP-binding subunit HslU
K03668	hslJ	heat shock protein HslJ
K03669	mdoH	membrane glycosyltransferase
K03670	mdoG	periplasmic glucans biosynthesis protein
K03671	trxA	thioredoxin 1
K03672	trxC	thioredoxin 2
K03673	dsbA	protein dithiol oxidoreductase (disulfide-forming)
K03674	grxA	glutaredoxin 1
K03675	grxB	glutaredoxin 2
K03676	grxC, GLRX, GLRX2	glutaredoxin 3
K03679	RRP4	exosome complex component RRP4
K03683	rnt	ribonuclease T
K03684	rnd	ribonuclease D
K03685	rnc	ribonuclease III
K03686	dnaJ	molecular chaperone DnaJ
K03687	GRPE	molecular chaperone GrpE
K03688	ubiB, aarF	ubiquinone biosynthesis protein
K03690	ubiJ	ubiquinone biosynthesis accessory factor UbiJ
K03693	pbp1b	penicillin-binding protein 1B
K03694	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA
K03695	clpB	ATP-dependent Clp protease ATP-binding subunit ClpB
K03696	clpC	ATP-dependent Clp protease ATP-binding subunit ClpC
K03697	clpE	ATP-dependent Clp protease ATP-binding subunit ClpE
K03698	cbf, cbf1	3'-5' exoribonuclease
K03699	tlyC	magnesium and cobalt exporter, CNNM family
K03700	recU	recombination protein U
K03701	uvrA	excinuclease ABC subunit A
K03702	uvrB	excinuclease ABC subunit B
K03703	uvrC	excinuclease ABC subunit C
K03704	cspA	cold shock protein
K03705	hrcA	heat-inducible transcriptional repressor
K03706	codY	transcriptional pleiotropic repressor
K03707	tenA	thiaminase (transcriptional activator TenA)
K03708	ctsR	transcriptional regulator of stress and heat shock response
K03709	troR, sirR, scaR, mntR	DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K03710	K03710	GntR family transcriptional regulator
K03711	fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator
K03712	marR	MarR family transcriptional regulator, multiple antibiotic resistance protein MarR
K03713	glnR	MerR family transcriptional regulator, glutamine synthetase repressor
K03715	MGD	1,2-diacylglycerol 3-beta-galactosyltransferase
K03716	splB	spore photoproduct lyase
K03717	nhaR	LysR family transcriptional regulator, transcriptional activator of nhaA
K03718	asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
K03719	lrp	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
K03720	trpR	TrpR family transcriptional regulator, trp operon repressor
